City,TotalDays2020,PoorDays2020,AQImedian2020,Zone
Seattle,306,14,42,west
San Francisco,314,22,45,west
Los Angeles,275,119,81,west
Denver,366,34,58,mountain
Salt Lake City,366,21,50,mountain
Phoenix,366,70,75,mountain
Chicago,366,28,56,central
St.Louis,366,10,52,central
Dallas,306,24,49,central
Boston,306,0,42,east
Washington DC,366,3,42,east
Miami,275,2,44,east
Clearlake,341,4,32,west
Salem,365,11,32,west
Durango,366,1,44,mountain
Sante Fe,366,1,44,mountain
Ann Arbor,366,6,38,central
Bismarck,366,0,37,central
Bangor,362,0,29,east
Charlottesville,363,0,35,east
